tag,frequency,percentage
automl,253,0.11789210775245453
dentistry,252,0.11742613104197051
datetime,252,0.11742613104197051
text pre-processing,250,0.11649417762100249
tidyverse,234,0.10903855025325834
china,231,0.10764062012180631
ml ethics,229,0.10670866670083828
robotics,228,0.10624268999035427
water bodies,220,0.1025148763064822
model comparison,218,0.10158292288551418
ggplot2,217,0.10111694617503017
canada,216,0.10065096946454616
question answering,215,0.10018499275406215
audio classification,214,0.09971901604357815
fish and aquaria,203,0.09459327222825403
indonesian,203,0.09459327222825403
puzzles,202,0.09412729551777002
south america,202,0.09412729551777002
nltk,202,0.09412729551777002
seaborn,201,0.09366131880728601
australia,200,0.093195342096802
arabic,200,0.093195342096802
segmentation,199,0.09272936538631799
middle east,194,0.09039948183389794
cv2,193,0.08993350512341393
gpu,192,0.08946752841292993
spanish,191,0.08900155170244592
rail transport,184,0.08573971472905784
rnn,184,0.08573971472905784
international relations,183,0.08527373801857384
martial arts,181,0.08434178459760582
urban planning,180,0.0838758078871218
yolov8,179,0.08340983117663779
image generator,172,0.08014799420324972
k-means,166,0.07735213394034567
optimization,151,0.0703624832830855
mortality,150,0.06989650657260149
xgboost,150,0.06989650657260149
image augmentation,149,0.0694305298621175
benchmark,148,0.06896455315163348
japan,148,0.06896455315163348
make-up and cosmetics,147,0.06849857644114947
hockey,146,0.06803259973066547
card games,144,0.06710064630969745
turkish,144,0.06710064630969745
human rights,136,0.06337283262582537
mathematics,136,0.06337283262582537
portuguese,135,0.06290685591534136
russian,133,0.06197490249437333
dplyr,126,0.05871306552098526
svm,124,0.05778111210001725
bengali,122,0.05684915867904922
water transport,120,0.0559172052580812
chinese,120,0.0559172052580812
text-to-text generation,120,0.0559172052580812
automatic speech recognition,119,0.055451228547597195
video classification,116,0.05405329841614516
french,115,0.05358732170566115
ensembling,113,0.052655368284693124
image text recognition,112,0.052189391574209126
philosophy,108,0.05032548473227308
bert,108,0.05032548473227308
search engines,107,0.049859508021789074
plotly,107,0.049859508021789074
gradient boosting,107,0.049859508021789074
image-to-text,103,0.047995601179853034
mexico,101,0.04706364775888501
running,99,0.04613169433791699
IPython,98,0.045665717627432975
